288 1675
288 1622
288 1662
288 1377
288 1363
285 2321
285 1542
285 1512
285 1790
285 1729
14 172
14 170
14 157
14 145
14 131
156 990
156 896
156 768
156 1030
156 965
178 1161
178 1250
178 988
178 1136
178 1067
201 1644
201 1137
201 1013
201 1237
201 1265
196 925
196 1053
196 908
196 938
196 906
162 982
162 790
162 795
162 1009
162 971
97 666
97 622
97 710
97 498
97 505
71 547
71 493
71 442
71 550
71 505
293 1717
293 2096
293 1761
293 1758
293 1294
289 1890
289 1595
289 1542
289 1899
289 1731
6 86
6 76
6 87
6 82
6 68
143 1127
143 874
143 960
143 915
143 848
32 284
32 317
32 263
32 257
32 242
223 1332
223 1531
223 1438
223 1366
223 1321
12 156
12 176
12 174
12 136
12 114
189 1131
189 1106
189 1070
189 1141
189 1104
154 825
154 1103
154 863
154 983
154 707
76 526
76 582
76 520
76 550
76 488
111 564
111 683
111 626
111 753
111 684
288 1948
288 2011
288 1581
288 1922
288 1761
232 1469
232 1478
232 1097
232 1469
232 1432
248 1504
248 1396
248 1259
248 1479
248 1412
275 1592
275 1601
275 1311
275 1627
275 1588
28 175
28 237
28 196
28 242
28 211
187 1610
187 1461
187 1671
187 1267
187 1152
93 713
93 492
93 590
93 671
93 615
11 142
11 151
11 120
11 139
11 120
3 57
3 64
3 51
3 57
3 57
94 607
94 681
94 560
94 606
94 573
22 202
22 243
22 208
22 166
22 159
30 238
30 258
30 226
30 220
30 225
2 40
2 45
2 33
2 40
2 33
32 264
32 239
32 237
32 242
32 246
224 1007
224 1242
224 1095
224 1442
224 1367
169 1012
169 1012
169 1034
169 1062
169 804
184 887
184 1161
184 906
184 839
184 834
274 1579
274 1248
274 1279
274 1653
274 1589
57 482
57 370
57 339
57 427
57 376
297 1745
297 1985
297 1424
297 1829
297 1730
83 553
83 551
83 460
83 595
83 550
165 1081
165 991
165 895
165 1009
165 1018
12 143
12 147
12 140
12 138
12 126
258 1842
258 1765
258 1737
258 1660
258 1652
97 753
97 743
97 713
97 688
97 690
158 1064
158 1037
158 1068
158 1005
158 979
188 1157
188 915
188 933
188 1246
188 1156
140 977
140 906
140 753
140 887
140 865
279 1431
279 1492
279 1549
279 1273
279 1255
278 1687
278 1409
278 1692
278 1302
278 1259
49 458
49 389
49 371
49 361
49 357
49 352
49 307
49 322
49 374
49 297
52 350
52 349
52 332
